mri_image_path,mri_source_class,mri_pred_class_idx,mri_prob_mild_impairment,mri_prob_moderate_impairment,mri_prob_no_impairment,mri_prob_very_mild_impairment
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1).jpg,No Impairment,3,0.048871900886297226,2.9247241855046013e-06,0.2539699971675873,0.697155237197876
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (10).jpg,No Impairment,2,1.556275128677953e-05,2.5996405074728453e-14,0.9996823072433472,0.00030212991987355053
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (100).jpg,No Impairment,2,2.9277032808749937e-05,5.571634265066905e-10,0.9998151659965515,0.0001555114722577855
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1000).jpg,No Impairment,2,1.127429982261674e-06,5.226459975915532e-08,0.9998379945755005,0.00016082725778687745
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1001).jpg,No Impairment,2,3.675512289191829e-06,4.764024907899511e-08,0.9943272471427917,0.0056690345518291
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1002).jpg,No Impairment,2,0.01108507625758648,1.6655162582424055e-08,0.9083488583564758,0.08056601136922836
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1003).jpg,No Impairment,2,0.02404547855257988,2.5066358375624986e-06,0.7476531267166138,0.22829893231391907
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1004).jpg,No Impairment,2,3.0968854503043985e-07,1.5052952218042037e-09,0.9999951124191284,4.489071216084994e-06
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1005).jpg,No Impairment,2,0.015171409584581852,0.0006758302915841341,0.9719476699829102,0.012205152772367
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1006).jpg,No Impairment,2,0.00011020570673281327,3.604231801901392e-09,0.9075222015380859,0.09236752241849899
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1007).jpg,No Impairment,2,0.00044490775326266885,1.7418165798588348e-09,0.9925071597099304,0.007047917228192091
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1008).jpg,No Impairment,0,0.5278525352478027,2.064379032162833e-07,0.38860830664634705,0.0835389718413353
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1009).jpg,No Impairment,2,0.0004642484709620476,9.462993233455563e-08,0.9928863644599915,0.006649354938417673
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (101).jpg,No Impairment,2,0.0006021858425810933,1.2291179629642102e-08,0.9737638831138611,0.02563387341797352
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1010).jpg,No Impairment,2,0.0004038035694975406,6.368930371536408e-06,0.9906567335128784,0.008933144621551037
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1011).jpg,No Impairment,2,8.886633440852165e-05,9.071939865989975e-10,0.9993865489959717,0.000524564937222749
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1012).jpg,No Impairment,2,0.0019413473783060908,4.852002803090727e-06,0.9593843221664429,0.03866953030228615
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1013).jpg,No Impairment,2,0.017976107075810432,5.996766503812978e-06,0.9710724949836731,0.010945454239845276
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1014).jpg,No Impairment,2,0.0047940961085259914,4.380075552035123e-06,0.983551561832428,0.011649899184703827
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1015).jpg,No Impairment,2,9.17664465305279e-07,5.313202766643599e-09,0.9997548460960388,0.0002441827382426709
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1016).jpg,No Impairment,2,0.028326163068413734,1.7595943972992245e-06,0.9207196831703186,0.050952304154634476
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1017).jpg,No Impairment,2,0.09007775038480759,2.0222612420184305e-06,0.8904704451560974,0.01944977231323719
E:\ML\silero-python\Alzheimers-Disease-Classification\Combined Dataset\train\No Impairment\NoImpairment (1018).jpg,No Impairment,2,1.753897862499798e-07,2.270513117796913e-11,0.99919193983078,0.0008078968385234475
